timestamp,co,no2,o3,so2,temp_c,humidity,wind_kph,pressure_mb
2025-08-04 00:57:01,632.7,34.04,37.0,19.24,27.5,78.0,25.6,1004.0
2025-08-04 03:08:17,310.8,18.13,45.0,13.69,28.2,79.0,28.1,1004.0
2025-08-04 04:47:52,286.75,15.17,46.0,12.95,29.3,70.0,29.5,1005.0
2025-08-04 05:29:19,331.15,13.69,47.0,13.135,29.1,75.0,29.2,1005.0
2025-08-04 06:21:50,519.85,15.17,47.0,14.43,31.3,63.0,29.9,1005.0
2025-08-04 07:20:22,778.85,18.13,47.0,16.65,32.2,52.0,31.7,1004.0
2025-08-04 08:16:07,925.0,19.425,50.0,18.87,32.3,49.0,31.0,1005.0
2025-08-04 09:20:51,845.45,16.835,57.0,20.905,31.3,55.0,31.7,1004.0
2025-08-04 10:13:53,653.05,12.58,67.0,22.94,32.3,49.0,32.0,1004.0
2025-08-04 11:10:37,577.2,7.955,78.0,23.495,31.1,55.0,32.0,1003.0
2025-08-04 12:20:20,540.2,6.29,81.0,22.755,30.2,59.0,32.0,1003.0
2025-08-04 13:34:38,532.8,5.735,82.0,21.275,30.4,59.0,31.7,1003.0
2025-08-04 14:15:34,545.75,6.105,80.0,20.165,30.1,59.0,29.9,1003.0
2025-08-04 15:11:35,588.3,7.03,76.0,19.795,29.2,66.0,29.2,1003.0
2025-08-04 16:14:13,651.2,9.065,69.0,19.795,29.3,70.0,29.5,1004.0
2025-08-04 17:15:56,699.3,12.21,62.0,19.795,29.3,70.0,28.4,1004.0
2025-08-04 18:15:08,719.65,17.945,55.0,20.165,29.3,66.0,29.5,1004.0
2025-08-04 19:12:34,715.95,29.97,42.0,20.72,28.1,74.0,31.0,1004.0
2025-08-04 20:11:41,715.95,29.97,42.0,20.72,27.1,84.0,31.0,1004.0
2025-08-04 21:09:59,699.3,31.08,40.0,19.98,27.3,84.0,32.0,1003.0
2025-08-04 22:10:24,669.7,29.785,41.0,18.685,28.3,74.0,32.0,1003.0
2025-08-04 23:10:17,617.9,27.565,42.0,17.39,28.1,74.0,32.4,1002.0
2025-08-05 00:53:31,525.4,23.865,44.0,15.91,27.0,80.0,31.7,1003.0
2025-08-05 02:58:35,281.2,12.21,49.0,12.025,28.4,74.0,32.4,1003.0
2025-08-05 04:06:28,264.55,10.36,50.0,11.47,28.3,74.0,34.6,1004.0
2025-08-05 05:20:51,301.55,9.805,51.0,11.47,30.1,62.0,34.6,1004.0
2025-08-05 06:17:48,451.4,12.21,50.0,12.58,30.4,66.0,34.2,1004.0
2025-08-05 07:17:38,656.75,15.91,49.0,14.43,30.3,62.0,33.5,1004.0
2025-08-05 08:14:57,778.85,17.76,50.0,16.28,30.1,62.0,32.8,1004.0
2025-08-05 09:17:17,736.3,15.355,56.0,18.13,31.2,55.0,33.5,1003.0
2025-08-05 10:11:46,612.35,10.915,65.0,19.795,31.2,55.0,33.1,1003.0
2025-08-05 11:10:16,495.8,10.36,62.0,20.905,31.1,52.0,31.3,1003.0
2025-08-05 12:20:42,475.45,8.88,64.0,20.72,30.0,59.0,31.7,1003.0
2025-08-05 13:34:27,490.25,8.14,66.0,19.98,29.1,62.0,32.0,1003.0
2025-08-05 14:15:43,521.7,8.14,66.0,19.425,29.1,62.0,31.0,1003.0
2025-08-05 15:12:56,567.95,8.695,65.0,19.24,29.2,66.0,29.2,1003.0
2025-08-05 16:10:44,627.15,10.175,63.0,19.24,28.3,70.0,28.4,1003.0
2025-08-05 17:10:22,678.95,13.69,59.0,19.425,28.0,74.0,28.4,1004.0
2025-08-05 18:16:00,719.65,21.83,52.0,19.795,28.2,74.0,29.5,1004.0
2025-08-05 19:13:46,762.2,38.48,38.0,20.35,28.3,74.0,28.1,1004.0
2025-08-05 20:11:30,762.2,38.48,38.0,20.35,28.2,74.0,28.1,1004.0
2025-08-05 21:09:48,749.25,38.48,37.0,19.98,28.4,74.0,29.2,1003.0
2025-08-05 22:10:52,715.95,34.965,39.0,19.055,28.1,70.0,29.2,1003.0
2025-08-05 23:10:01,660.45,30.34,41.0,17.945,28.4,74.0,28.8,1003.0
2025-08-06 00:52:43,560.55,24.975,44.0,16.28,27.3,78.0,25.2,1003.0
2025-08-06 02:56:39,301.55,11.285,50.0,11.84,28.1,74.0,28.1,1004.0
2025-08-06 04:01:38,286.75,10.175,50.0,11.47,28.3,79.0,29.2,1004.0
2025-08-06 05:22:07,329.3,10.73,49.0,12.025,29.2,66.0,29.9,1005.0
2025-08-06 06:17:48,484.7,14.985,47.0,13.875,30.3,66.0,30.6,1005.0
2025-08-06 07:16:48,695.6,21.09,45.0,16.65,30.3,62.0,29.2,1005.0
2025-08-06 08:14:42,819.55,24.05,45.0,18.87,31.4,59.0,28.8,1005.0
2025-08-06 09:17:30,769.6,20.72,51.0,20.35,31.4,55.0,28.8,1004.0
2025-08-06 10:12:15,630.85,14.06,60.0,21.46,33.1,47.0,28.8,1004.0
2025-08-06 11:09:48,588.3,8.325,69.0,21.46,32.3,49.0,30.2,1004.0
2025-08-06 12:20:46,551.3,6.66,73.0,21.09,31.2,55.0,30.2,1003.0
2025-08-06 13:35:02,536.5,6.105,75.0,20.165,30.3,59.0,30.2,1003.0
2025-08-06 14:14:32,547.6,6.66,75.0,19.61,30.1,59.0,28.8,1003.0
2025-08-06 15:12:32,597.55,7.585,73.0,19.98,29.0,66.0,26.6,1004.0
2025-08-06 16:13:53,671.55,9.62,68.0,20.72,29.1,66.0,24.8,1004.0
2025-08-06 17:14:22,738.15,14.06,62.0,21.645,29.2,66.0,24.1,1005.0
2025-08-06 18:15:10,788.1,23.68,53.0,22.94,28.2,70.0,25.6,1005.0
2025-08-06 19:11:59,847.3,43.66,34.0,24.79,28.2,74.0,27.7,1005.0
2025-08-06 20:11:37,847.3,43.66,34.0,24.79,28.4,70.0,27.7,1004.0
2025-08-06 21:09:44,843.6,44.585,32.0,24.05,28.3,70.0,27.4,1004.0
2025-08-06 22:10:29,817.7,41.625,34.0,22.57,28.3,74.0,26.3,1003.0
2025-08-06 23:10:25,762.2,37.37,36.0,20.72,28.1,74.0,25.9,1003.0
