# 🚨 NOTE: This script was part of an earlier approach and is NOT used in the final pipeline.
# It is kept here for reference only.

feature,importance
o3,0.9829869795909479
so2,0.014540511730940772
no2,0.002293718296582409
co,4.8732888065426664e-05
temp_c,3.2385109089219275e-05
hour,2.9922839490491725e-05
wind_kph,2.0092165162793588e-05
humidity,1.8622691437281283e-05
day,1.2667849848455656e-05
pressure_mb,6.861947074778636e-06
dayofweek,5.899770931735779e-06
month,3.6051204287787227e-06
